Price,Close,High,Low,Open,Volume
Ticker,CHRW,CHRW,CHRW,CHRW,CHRW
Date,,,,,
2024-07-01,83.36579132080078,85.35366331073328,83.11611215467927,84.80627848239524,907300
2024-07-02,82.73199462890625,83.83636976967358,82.6167529990765,83.34660200126936,1396100
2024-07-03,84.03801727294922,84.3357155879729,82.97205626062411,83.11610643220514,799700
2024-07-05,83.05848693847656,84.12444801459779,82.11737277098896,82.81840574703838,1430300
2024-07-08,83.18333435058594,83.73071917731022,82.30943529164728,83.26015476402176,1043200
2024-07-09,83.1161117553711,84.41254872923842,82.98166687373724,84.19167080844193,1388700
2024-07-10,82.0501480102539,83.55785755678303,80.89775392791995,83.55785755678303,1653700
2024-07-11,82.94324493408203,83.6730864128881,82.07895126002659,82.48228586568717,1084800
2024-07-12,83.31777954101562,84.07643699256519,82.79920328324643,83.44261912417065,1702400
2024-07-15,83.57705688476562,83.88436049355062,82.60712689306776,83.6442793202281,1755500
2024-07-16,84.2588882446289,85.57453573869793,83.71150345143302,83.71150345143302,1606800
2024-07-17,85.44010162353516,85.46891019627361,83.10651198465891,83.63468624715698,1279700
2024-07-18,83.93238830566406,86.24676724504015,83.50984305254282,85.18080613953644,1457200
2024-07-19,85.33446502685547,85.37287889928022,83.34659292073034,84.15326226155932,1400300
2024-07-22,86.61170959472656,87.73528802794468,86.13154711967287,87.02464961634064,1549400
2024-07-23,87.03423309326172,87.47598161752497,85.08477494153814,85.50732019374503,1254600
2024-07-24,86.63090515136719,87.86011980571274,86.09312557176533,87.05345043630994,1160300
2024-07-25,85.86264038085938,87.97535192396334,85.72818817378518,86.91899615241137,1765000
2024-07-26,85.92024993896484,86.54446244374014,85.02714769716532,86.02588623946663,1379100
2024-07-29,85.708984375,86.34280223004959,84.99834610784755,86.03549127485238,1297400
2024-07-30,85.79541015625,86.61169205994099,85.13279105697964,85.92986236260688,973400
2024-07-31,85.51692199707031,86.41002430846208,84.00921243124726,85.93945990530656,4435500
2024-08-01,98.1548080444336,101.22785214846154,94.38073085996666,94.93772106545079,4117400
2024-08-02,94.71684265136719,98.65418061943528,93.9101732487585,97.52099693955815,2362100
2024-08-05,94.81287384033203,95.43707911946646,92.68095154207226,94.11183348957118,1705400
2024-08-06,95.2450180053711,97.38654562414136,94.17905684592763,94.58239152066378,1626100
2024-08-07,93.89095306396484,96.29176507909503,93.794922048699,95.32184230020414,1342400
2024-08-08,94.65921783447266,95.54271491625344,93.35317548458063,94.20786399384419,1662200
2024-08-09,94.60160064697266,95.1105716324071,93.9965913175946,95.08176305990281,745100
2024-08-12,94.7840576171875,94.85128006209683,93.64127605372889,94.36151967491328,818700
2024-08-13,94.36151123046875,94.70722872383463,92.54649805364599,94.15984391378804,1169300
2024-08-14,93.91016387939453,94.54397444296679,93.4972239187729,94.36151771155036,798700
2024-08-15,93.95817565917969,96.01327748801376,93.82373077225085,94.71683313639062,771900
2024-08-16,95.2834243774414,95.55231413943167,93.3435642487461,94.04460455110348,1227200
2024-08-19,97.04082489013672,97.08883673457356,94.60159899582153,95.27382343151211,1153300
2024-08-20,95.2450180053711,96.9928089225915,95.08176454083937,96.9928089225915,770200
2024-08-21,96.67589569091797,96.99280463277883,95.25461909231852,95.71557089257362,755700
